Experiment,T,t (min),mu0,mu1,mu2,mu3,C
1,39.99,28.91667,68380.000,1113368.740,35243291.310,2029420075.020,0.153353
1,39.99,30.18333,75278.140,1064588.210,37598795.650,2091200404.870,0.152358
1,39.99,31.43333,95062.430,1229685.820,39774492.770,2306620365.480,0.152007
1,40.01,32.7,98309.180,1202394.860,41803268.530,2348029672.480,0.151379
1,40.01,33.96667,95693.600,1318395.700,38626188.030,2437005517.270,0.151386
1,40,35.21667,102247.590,1324612.800,45362686.810,2580504272.660,0.151722
1,40.01,36.48333,125912.770,1437832.030,46944255.190,2591991342.540,0.150569
1,40.01,37.73333,127090.590,1432033.820,48372430.820,2525728583.240,0.150648
1,39.99,39,127538.760,1543401.280,45882666.540,2856644357.670,0.149840
1,39.99,40.26667,133874.610,1528070.770,50941555.760,2708117805.930,0.150253
1,40,41.53333,154014.370,1505628.190,48067738.450,2900108538.730,0.149780
1,40.01,42.78333,131274.180,1543448.950,49006026.980,2731882519.460,0.149926
1,40.01,44.05,159150.730,1647746.260,47792390.720,2918148906.830,0.149485
1,40,45.31667,149235.890,1612317.990,48550804.730,3030811048.460,0.149955
1,40.01,46.58333,154323.400,1786425.110,49253875.310,2843010623.270,0.149238
1,39.99,47.83333,159207.280,1672597.160,52073095.360,2949845151.590,0.150025
1,40.01,49.1,172627.900,1848006.230,59296813.400,3056112721.850,0.149923
1,40,50.36667,159752.020,1800977.550,57736843.730,2930085380.810,0.149829
1,40,51.63333,200444.220,1750136.600,51597079.080,3032589275.540,0.148847
1,40.01,52.9,168104.970,1849861.500,56608676.580,3134346851.820,0.148767
1,40,54.16667,181637.620,1794052.270,57095808.890,2998716334.950,0.149289
1,40.01,55.43333,195481.760,1971904.120,55248911.710,3018354743.160,0.148922
1,40,56.68333,209579.760,1992439.880,60293138.650,3276288407.590,0.148561
1,40,57.95,193460.750,2012058.610,53704431.280,3134087292.620,0.148799
1,40.01,59.23333,197228.360,2112016.150,56402653.350,3150699552.460,0.148147
1,40.01,60.51667,211456.000,2048469.520,61470878.330,3166192434.880,0.148689
1,40,61.78333,204403.710,2230382.390,59437621.330,3343758144.960,0.148342
1,40,63.06667,218824.460,1998094.380,57365261.860,3440226218.030,0.148295
1,39.99,64.36667,244679.910,1929187.540,57656711.130,3372186681.930,0.148547
1,40,65.65,214606.280,2111540.580,57927145.740,3302465719.920,0.148209
2,39.98,5,1559.230,21237.530,1847000.970,234067271.730,0.160491
2,39.06,6.25,2346.790,33471.440,2078155.790,254079095.740,0.159589
2,38.38,7.516667,3447.180,48673.360,2588539.880,305732861.800,0.160231
2,37.9,8.766667,5077.190,74500.250,3283807.470,357972331.740,0.157648
2,37.55,10.03333,6672.190,117973.850,4732812.770,476396038.940,0.159733
2,37.3,11.28333,8638.240,172148.420,6668741.090,543892003.690,0.157756
2,37.12,12.55,12424.810,210410.940,8705114.260,736939195.970,0.157209
2,36.99,13.8,16052.580,322938.190,13053264.810,926838642.380,0.156498
2,36.9,15.06667,22967.910,392056.650,17648480.400,1251387161.660,0.157155
2,36.84,16.31667,33799.090,568703.200,20333861.230,1571751025.650,0.153014
